22.07.2023;14:00;60
22.07.2023;13:00;61
22.07.2023;12:00;57
22.07.2023;11:00;56
22.07.2023;10:00;62
22.07.2023;09:00;60
22.07.2023;08:00;52
22.07.2023;07:00;43
22.07.2023;06:00;35
22.07.2023;05:00;30
22.07.2023;04:00;31
22.07.2023;03:00;34
22.07.2023;02:00;40
22.07.2023;01:00;40
22.07.2023;00:00;46
21.07.2023;23:00;52
21.07.2023;22:00;56
21.07.2023;21:00;60
21.07.2023;20:00;65
21.07.2023;19:00;78
21.07.2023;18:00;82
21.07.2023;17:00;77
21.07.2023;16:00;81
21.07.2023;15:00;85
21.07.2023;14:00;68
21.07.2023;13:00;73
21.07.2023;12:00;62
21.07.2023;11:00;63
21.07.2023;10:00;56
21.07.2023;09:00;60
21.07.2023;08:00;60
21.07.2023;07:00;67
21.07.2023;06:00;53
21.07.2023;05:00;43
21.07.2023;04:00;54
21.07.2023;03:00;47
21.07.2023;02:00;48
21.07.2023;01:00;61
21.07.2023;00:00;58
20.07.2023;23:00;37
20.07.2023;22:00;39
20.07.2023;21:00;56
20.07.2023;20:00;69
20.07.2023;19:00;82
20.07.2023;18:00;74
20.07.2023;17:00;70
20.07.2023;16:00;72
20.07.2023;15:00;69
