22.07.2023;14:00;11
22.07.2023;13:00;3
22.07.2023;12:00;3
22.07.2023;11:00;4
22.07.2023;10:00;5
22.07.2023;09:00;8
22.07.2023;08:00;11
22.07.2023;07:00;13
22.07.2023;06:00;13
22.07.2023;05:00;10
22.07.2023;04:00;11
22.07.2023;03:00;9
22.07.2023;02:00;9
22.07.2023;01:00;7
22.07.2023;00:00;8
21.07.2023;23:00;9
21.07.2023;22:00;8
21.07.2023;21:00;9
21.07.2023;20:00;10
21.07.2023;19:00;12
21.07.2023;18:00;12
21.07.2023;17:00;8
21.07.2023;16:00;7
21.07.2023;15:00;5
21.07.2023;14:00;5
21.07.2023;13:00;7
21.07.2023;12:00;9
21.07.2023;11:00;15
21.07.2023;10:00;22
21.07.2023;09:00;25
21.07.2023;08:00;15
21.07.2023;07:00;18
21.07.2023;06:00;27
21.07.2023;05:00;20
21.07.2023;04:00;19
21.07.2023;03:00;25
21.07.2023;02:00;21
21.07.2023;01:00;21
21.07.2023;00:00;21
20.07.2023;23:00;21
20.07.2023;22:00;13
20.07.2023;21:00;6
20.07.2023;20:00;6
20.07.2023;19:00;5
20.07.2023;18:00;5
20.07.2023;17:00;5
20.07.2023;16:00;5
20.07.2023;15:00;4
